idn	jahrzehnt	count	name	lat	lon
040582825	1520	5	Stuttgart	48.782222	9.176944
04036934X	1520	4	Magdeburg	52.1275	11.629166
04002170X	1520	10	Ansbach	49.304722	10.593055
040769828	1520	2	Salzburg	47.799166	13.043888
040427420	1520	15	Nürnberg	49.454166	11.0775
040239969	1520	3	Heidelberg	49.407678999999995	8.690789
04062501X	1520	2	Venedig	45.438609	12.32667
040129950	1520	26	Dresden	51.05089	13.738319
040023648	1520	34	Antwerpen	51.219889	4.403459
040082164	1530	2	Breslau	51.1	17.033329000000002
040427420	1530	15	Nürnberg	49.454166	11.0775
04062501X	1530	7	Venedig	45.438609	12.32667
040239969	1530	3	Heidelberg	49.407678999999995	8.690789
04008065X	1530	4	Braunschweig	52.26594	10.52673
040861473	1530	4	Autun	46.95	4.299999
04036934X	1530	4	Magdeburg	52.1275	11.629166
04002170X	1530	10	Ansbach	49.304722	10.593055
040129950	1530	26	Dresden	51.05089	13.738319
040214419	1530	2	Görlitz	51.155	14.988332999999999
040243443	1530	4	Helmstedt	52.227899	11.00985
040023648	1530	34	Antwerpen	51.219889	4.403459
04014013X	1530	4	Eisenach	50.980699	10.31522
040448282	1530	6	Passau	48.566388	13.431110999999998
040650839	1530	15	Weikersheim	49.478659	9.89977
040769828	1530	2	Salzburg	47.799166	13.043888
040666409	1530	6	Wittenberg	51.8661	12.649728999999999
040576485	1530	34	Stockholm	59.33258000000001	18.0649
040604462	1530	27	Torgau	51.560159999999996	12.996169
040582825	1530	5	Stuttgart	48.782222	9.176944
04057878X	1530	7	Straßburg	48.583888	7.745277000000001
040181189	1530	16	Frankfurt am Main	50.115277	8.684166000000001
040763102	1530	3	Prag	50.088039	14.420759
040103250	1530	57	Coburg	50.259166	10.963611
04057878X	1540	7	Straßburg	48.583888	7.745277000000001
040650839	1540	15	Weikersheim	49.478659	9.89977
04008065X	1540	4	Braunschweig	52.26594	10.52673
040343677	1540	18	Landshut	48.533328999999995	12.15
040648354	1540	15	Wasungen	50.6619	10.369469
040023648	1540	34	Antwerpen	51.219889	4.403459
040582825	1540	5	Stuttgart	48.782222	9.176944
040769828	1540	2	Salzburg	47.799166	13.043888
041277937	1540	21	München	48.137221999999994	11.575277
04036934X	1540	4	Magdeburg	52.1275	11.629166
040214419	1540	2	Görlitz	51.155	14.988332999999999
040243443	1540	4	Helmstedt	52.227899	11.00985
040604462	1540	27	Torgau	51.560159999999996	12.996169
040082164	1540	2	Breslau	51.1	17.033329000000002
040103250	1540	57	Coburg	50.259166	10.963611
040763102	1540	3	Prag	50.088039	14.420759
040861473	1540	4	Autun	46.95	4.299999
040181189	1540	16	Frankfurt am Main	50.115277	8.684166000000001
04002170X	1540	10	Ansbach	49.304722	10.593055
040576485	1540	34	Stockholm	59.33258000000001	18.0649
040239969	1540	3	Heidelberg	49.407678999999995	8.690789
040384535	1540	15	Meiningen	50.567869	10.41521
04062501X	1540	7	Venedig	45.438609	12.32667
040448282	1540	6	Passau	48.566388	13.431110999999998
040427420	1540	15	Nürnberg	49.454166	11.0775
040129950	1540	26	Dresden	51.05089	13.738319
040129950	1550	26	Dresden	51.05089	13.738319
04057878X	1550	7	Straßburg	48.583888	7.745277000000001
040576485	1550	34	Stockholm	59.33258000000001	18.0649
040427420	1550	15	Nürnberg	49.454166	11.0775
040604462	1550	27	Torgau	51.560159999999996	12.996169
040448282	1550	6	Passau	48.566388	13.431110999999998
040082164	1550	2	Breslau	51.1	17.033329000000002
040861473	1550	4	Autun	46.95	4.299999
04036934X	1550	4	Magdeburg	52.1275	11.629166
040763102	1550	70	Prag	50.088039	14.420759
040582825	1550	5	Stuttgart	48.782222	9.176944
041277937	1550	29	München	48.137221999999994	11.575277
040345084	1550	2	Bad Langensalza	51.1075	10.645833
040769828	1550	2	Salzburg	47.799166	13.043888
040243443	1550	4	Helmstedt	52.227899	11.00985
040650839	1550	15	Weikersheim	49.478659	9.89977
04062501X	1550	16	Venedig	45.438609	12.32667
040181189	1550	16	Frankfurt am Main	50.115277	8.684166000000001
040239969	1550	3	Heidelberg	49.407678999999995	8.690789
04008065X	1550	4	Braunschweig	52.26594	10.52673
040343677	1550	18	Landshut	48.533328999999995	12.15
040214419	1550	2	Görlitz	51.155	14.988332999999999
040103250	1550	57	Coburg	50.259166	10.963611
040648354	1550	15	Wasungen	50.6619	10.369469
040384535	1550	15	Meiningen	50.567869	10.41521
040023648	1550	34	Antwerpen	51.219889	4.403459
041277937	1560	67	München	48.137221999999994	11.575277
040427420	1560	179	Nürnberg	49.454166	11.0775
040076164	1560	5	Bologna	44.493888	11.338888
040181189	1560	16	Frankfurt am Main	50.115277	8.684166000000001
04008065X	1560	5	Braunschweig	52.26594	10.52673
040103250	1560	57	Coburg	50.259166	10.963611
040576485	1560	34	Stockholm	59.33258000000001	18.0649
040214419	1560	2	Görlitz	51.155	14.988332999999999
040763102	1560	70	Prag	50.088039	14.420759
04062501X	1560	16	Venedig	45.438609	12.32667
040270963	1560	20	Innsbruck	47.2625	11.394444
